wavelength,valueA,valueB,valueC,valueD
579.198,400.21,744.22,1262.99,1915.23
579.54,402.41,743.38,1257.98,1853.8
579.881,401.75,741.51,1255.22,1805.76
580.222,402.17,738.49,1248.34,1761.67
580.564,400.96,736.79,1250.01,1724.14
580.905,398.11,734.12,1245.22,1691.99
581.246,397.14,734.6,1239.77,1663.5
581.587,393.99,731.47,1238.32,1638.24
581.928,392.07,730.01,1235.34,1615.64
582.269,392.48,729,1229.54,1594.44
582.61,390.23,729.22,1222.65,1575.02
582.951,391.87,730.28,1219.63,1555.47
583.292,390.85,729.55,1215.39,1534.02
583.633,391.54,727.83,1212.66,1516.12
583.974,391.73,729.04,1212.26,1500.83
584.315,391.38,729.81,1204.71,1486.34
584.655,393.87,728.22,1201.09,1472.5
584.996,392.82,726.39,1200.12,1454.98
585.337,390.63,725.47,1193.22,1440.26
585.677,391.36,722.73,1187.37,1425.37
586.018,390.87,720.59,1185.82,1412.86
586.358,390.74,720.1,1182.51,1399.6
